check-in,регистрация,She arrived early to complete **check-in** before the long queue formed.,2,airport
boarding pass,посадочный талон,The agent scanned her **boarding pass** and waved her through.,2,airport
window seat,место у окна,He always requests a **window seat** so he can watch the clouds.,2,airport
middle seat,среднее место,The **middle seat** between two strangers made the flight feel longer.,3,airport
carry-on,ручная кладь,Her **carry-on** bag fit perfectly in the overhead compartment.,2,airport
overbook,продавать лишние билеты,"Airlines sometimes **overbook** flights, hoping some passengers will not show.",4,airport
stranded,застрявший,Several passengers were **stranded** at the airport after the storm hit.,3,airport
reroute,изменить маршрут,The crew had to **reroute** the plane around the severe thunderstorm.,4,airport
confiscate,конфисковать,Officers will **confiscate** any liquids over one hundred millilitres at security.,4,airport
declaration,декларация,You must complete a customs **declaration** before entering the country.,3,airport
prohibited,запрещённый,Sharp objects are **prohibited** items that cannot pass through the checkpoint.,3,airport
reclaim,получить багаж,Head to belt four to **reclaim** your bags after landing.,3,airport
excess baggage,избыточный багаж,She had to pay a fee for **excess baggage** that was over the limit.,3,airport
hand luggage,ручная кладь,All **hand luggage** must be placed in the overhead bin before takeoff.,2,airport
stopover,остановка в пути,We had a short **stopover** in Dubai before continuing to Bangkok.,3,airport
connecting flight,пересадочный рейс,She ran to catch her **connecting flight** after the first plane was delayed.,3,airport
codeshare,код-шеринг,This ticket is a **codeshare** operated by a partner airline.,5,airport
mileage,мили,She earned extra **mileage** points by booking through the loyalty programme.,4,airport
priority boarding,приоритетная посадка,Business class passengers receive **priority boarding** before the general cabin.,4,airport
fast track,ускоренный досмотр,A premium pass gives access to the **fast track** security lane.,4,airport
e-ticket,электронный билет,You can present your **e-ticket** directly from your phone at the gate.,3,airport
self-service,самообслуживание,Most airports now offer **self-service** bag drop for online check-in.,3,airport
deplane,выходить из самолёта,Passengers were asked to **deplane** from the rear exit first.,4,airport
airsick,укачанный в самолёте,She felt **airsick** during the rough patch over the mountains.,3,airport
pressurization,герметизация,**Pressurization** keeps the cabin comfortable at high altitude.,5,airport
aerobridge,телескопический трап,We walked through the **aerobridge** directly into the terminal.,4,airport
airside,зона вылета,Once through security you are in the **airside** part of the terminal.,5,airport
landside,зона прилёта,Shops and cafes are available on the **landside** before you check in.,5,airport
hub,узловой аэропорт,Frankfurt is a major **hub** for transatlantic flights in Europe.,3,airport
beverage,напиток,The flight attendant offered a complimentary **beverage** to each passenger.,3,airport
brace position,поза безопасности,The crew demonstrated the **brace position** before the emergency landing.,4,airport
safety demo,инструктаж безопасности,Please pay attention to the **safety demo** at the start of every flight.,3,airport
zip-lock bag,пакет с zip-застёжкой,Liquids must be carried in a clear **zip-lock bag** through security.,3,airport
gel,гель,Hair **gel** counts as a liquid and must go in the small plastic bag.,3,airport
overweight,перевес,The scale showed her suitcase was **overweight** by three kilograms.,3,airport
waiver,отказ от претензий,The airline offered a fee **waiver** to passengers affected by the cancellation.,5,airport
lounge access,доступ в зал ожидания,Gold card members enjoy free **lounge access** at most major airports.,4,airport
departure lounge,зал вылета,Passengers relaxed in the **departure lounge** while waiting for their gate.,3,airport
arrivals hall,зал прилёта,Families waited in the crowded **arrivals hall** to greet their relatives.,3,airport
departures board,табло отправлений,She checked the **departures board** and saw the flight had been delayed.,3,airport
passport control,паспортный контроль,The queue at **passport control** stretched halfway through the terminal.,3,airport
baggage tag,бирка багажа,Always attach a **baggage tag** with your name and phone number.,3,airport
claim tag,квитанция на багаж,Keep your **claim tag** in case your bag goes missing on arrival.,4,airport
excess fee,сбор за перевес,He paid a heavy **excess fee** for his third oversized suitcase.,4,airport
boarding gate,выход на посадку,Please proceed to **boarding gate** twenty-two for your departure.,2,airport
hold baggage,зарегистрированный багаж,**Hold baggage** is stored in the aircraft cargo compartment below.,4,airport
flight number,номер рейса,Check your **flight number** on the departures board to find your gate.,2,airport
seat number,номер места,The agent assigned her **seat number** thirty-four C at check-in.,2,airport
row number,номер ряда,Find your **row number** on the boarding pass before entering the plane.,2,airport
overhead compartment,полка над головой,Please place your bag in the **overhead compartment** before taking your seat.,2,airport
aisle seat,место у прохода,He booked an **aisle seat** so he could stretch his legs easily.,2,airport
emergency row,аварийный ряд,Passengers seated in the **emergency row** must be ready to assist.,4,airport
safety card,карточка безопасности,Read the **safety card** in the seat pocket before the flight departs.,3,airport
life vest,спасательный жилет,The attendant showed us how to inflate the **life vest** below the seat.,3,airport
oxygen mask,кислородная маска,In an emergency the **oxygen mask** will drop automatically from above.,3,airport
emergency exit,аварийный выход,Always locate the nearest **emergency exit** when you board a new plane.,3,airport
tray table,откидной столик,Please fold your **tray table** and return your seat to the upright position.,2,airport
duty-free,беспошлинный,She bought perfume at the **duty-free** shop near the departure gate.,2,airport
duty-free allowance,беспошлинная норма,Exceeding your **duty-free allowance** means paying import tax on arrival.,4,airport
air traffic controller,авиадиспетчер,The **air traffic controller** directed the plane to runway two for departure.,4,airport
co-pilot,второй пилот,The **co-pilot** took over the controls while the captain had a rest.,3,airport
frequent flyer,участник бонусной программы,As a **frequent flyer** she earned points on every international trip.,3,airport
low-cost carrier,лоукостер,A **low-cost carrier** often charges extra for bags and seat selection.,3,airport
business class,бизнес-класс,She treated herself to **business class** on the twelve-hour overnight flight.,3,airport
first class,первый класс,**First class** passengers board before everyone else and enjoy wider seats.,3,airport
last call,последний вызов,A loud **last call** announcement urged all remaining passengers to board immediately.,3,airport
rebooking fee,сбор за перебронирование,The airline waived the **rebooking fee** due to the weather-related cancellation.,4,airport
travel insurance,туристическая страховка,Always buy **travel insurance** in case your flight is cancelled or delayed.,3,airport
checked baggage,зарегистрированный багаж,Each passenger is allowed one piece of **checked baggage** up to twenty kilos.,3,airport
baggage allowance,норма провоза багажа,Read the **baggage allowance** rules before you pack to avoid extra fees.,3,airport
lost luggage,потерянный багаж,She filed a report at the counter after her **lost luggage** failed to arrive.,3,airport
metal detector,металлодетектор,Walk through the **metal detector** and place all metal items in the tray.,2,airport
body scanner,сканер тела,The new **body scanner** can detect hidden items without a physical search.,4,airport
boarding group,группа посадки,"Passengers with status board first, followed by each **boarding group** in turn.",3,airport
flight delay,задержка рейса,The airline sent a text message to warn of a **flight delay**.,3,airport
gate change,смена выхода на посадку,A sudden **gate change** sent hundreds of passengers rushing to a new terminal.,4,airport
diverted flight,отклонённый рейс,Bad fog forced a **diverted flight** to land at a nearby regional airport.,4,airport
taxiing,руление,The aircraft spent twenty minutes **taxiing** to the runway before takeoff.,3,airport
in-flight,во время полёта,The **in-flight** entertainment system offered hundreds of films and TV shows.,3,airport
