set menu,комплексное меню,"The **set menu** offered three courses at a fixed price, which was great value.",3,restaurant
tasting menu,дегустационное меню,We splurged on the twelve-course **tasting menu** to celebrate our anniversary.,5,restaurant
side dish,гарнир,She ordered mashed potatoes as a **side dish** with her steak.,2,restaurant
charcuterie,мясная нарезка,The **charcuterie** board featured cured sausages and imported cheeses.,4,restaurant
microgreens,микрозелень,The chef scattered **microgreens** across the plate to add colour and freshness.,4,restaurant
entrée,основное блюдо,"For her **entrée**, she chose the pan-seared salmon with lemon butter sauce.",3,restaurant
poached,пашот,The **poached** egg sat perfectly on top of the smoked salmon toast.,3,restaurant
confit,конфи,Duck **confit** is slow-cooked in its own fat until the meat is silky and tender.,5,restaurant
sautéed,обжаренный,The **sautéed** mushrooms were tossed in garlic and fresh thyme.,3,restaurant
prosciutto,прошутто,Thin slices of **prosciutto** were draped over the melon as a classic Italian starter.,4,restaurant
maître d,метрдотель,The **maître d** welcomed us warmly and led us to our reserved table.,5,restaurant
floor manager,управляющий зала,The **floor manager** walked through the dining room to make sure every guest was happy.,4,restaurant
high top,высокий столик,They seated us at a **high top** near the bar while we waited for our reserved table.,3,restaurant
al fresco,на свежем воздухе,Dining **al fresco** on the stone terrace was the highlight of our Italian holiday.,4,restaurant
garden seating,места в саду,We requested **garden seating** and were shown to a table beneath a canopy of vines.,3,restaurant
walk-in,без бронирования,"We didn't have a reservation, but they accepted us as a **walk-in** right away.",3,restaurant
ambience,атмосфера,The candlelight and soft piano gave the restaurant a warm and inviting **ambience**.,4,restaurant
plant-based,растительный,The new **plant-based** menu is popular with both vegans and curious meat-eaters.,3,restaurant
meat-free,без мяса,The chef designed a creative **meat-free** section that satisfied even dedicated carnivores.,3,restaurant
gluten-free,без глютена,"He requested a **gluten-free** pasta, and the kitchen prepared it without any problem.",3,restaurant
dairy-free,без молочных продуктов,"She ordered the **dairy-free** dessert, which was made with coconut cream instead.",3,restaurant
intolerance,непереносимость,"Please mention any food **intolerance** when you make your reservation, so we can prepare.",4,restaurant
halal,халяльный,The restaurant is fully **halal** certified and uses only approved suppliers.,4,restaurant
kosher,кошерный,They opened a **kosher** menu section to cater to their new neighbourhood customers.,4,restaurant
ethical sourcing,этичные поставки,The menu notes explain the chef's commitment to **ethical sourcing** of all ingredients.,4,restaurant
wine list,винная карта,The sommelier handed us the **wine list** and offered a few personal recommendations.,3,restaurant
house wine,вино заведения,"We ordered a carafe of **house wine**, which turned out to be surprisingly good.",3,restaurant
sparkling water,газированная вода,The waiter asked whether we preferred still or **sparkling water** with our meal.,2,restaurant
tap water,вода из-под крана,"Could we have some **tap water** while we look at the menu, please?",1,restaurant
greasy,жирный,The pizza was far too **greasy** and left an oily residue on every napkin.,2,restaurant
medium,средняя прожарка,"He ordered the burger **medium**, so the patty was juicy and slightly pink inside.",2,restaurant
lukewarm,чуть тёплый,My soup arrived **lukewarm** rather than hot; the waiter apologised and replaced it.,4,restaurant
caramelised,карамелизованный,The **caramelised** onions on top of the French onion soup were wonderfully sweet and rich.,4,restaurant
melt-in-your-mouth,тающий во рту,The slow-cooked beef was so **melt-in-your-mouth** that no knife was needed at all.,4,restaurant
all-you-can-eat,всё включено,We chose the **all-you-can-eat** brunch for a fixed price and tried dozens of dishes.,3,restaurant
