adjoining,смежный,"The two **adjoining** rooms share a connecting door, perfect for families.",3,hotel
connecting,соединяющий,We booked **connecting** rooms so the kids could stay close.,3,hotel
cloakroom,гардероб,Leave your coat in the **cloakroom** near the main entrance.,2,hotel
pedicure,педикюр,She booked a **pedicure** at the hotel spa after her long flight.,2,hotel
manicure,маникюр,A complimentary **manicure** is included in every deluxe package.,2,hotel
salon,салон красоты,The **salon** on the ground floor offers cuts and colour treatments.,2,hotel
hairdresser,парикмахер,The hotel **hairdresser** styled her hair before the gala dinner.,3,hotel
beautician,косметолог,The **beautician** recommended a facial after the long flight.,3,hotel
prepayment,предоплата,A **prepayment** of one night is required to hold your reservation.,3,hotel
authorization,авторизация,"The front desk ran a credit card **authorization** at check-in, not a charge.",4,hotel
lodge,лесной отель,The mountain **lodge** offered cosy rooms and a log fire.,3,hotel
manor,поместье,The family converted the historic **manor** into a boutique hotel.,3,hotel
retreat,уединённый отель,The wellness **retreat** offers digital detox packages for stressed professionals.,4,hotel
vase,ваза,Fresh lilies were arranged in a tall **vase** on the reception desk.,2,hotel
artwork,произведение искусства,Original **artwork** by local painters decorates every corridor wall.,3,hotel
cushion,подушка,Extra **cushion** covers are kept in the wardrobe for guest use.,2,hotel
bolster,валик,A cylindrical **bolster** rested at the head of the bed.,4,hotel
turndown,вечерняя уборка номера,Evening **turndown** service includes chocolates placed on your pillow.,4,hotel
duplex,двухуровневый номер,The **duplex** suite has a bedroom on each level connected by a private stair.,4,hotel
porterage,услуга носильщика,A flat **porterage** fee of five dollars applies per bag at check-in.,5,hotel
courtesy,вежливость,The **courtesy** shuttle runs between the hotel and downtown every hour.,3,hotel
dolly,тележка для багажа,The porter loaded our trunks onto a **dolly** and wheeled them to the lift.,3,hotel
cabana,кабана,We reserved a poolside **cabana** for the afternoon to escape the sun.,4,hotel
daybed,кушетка,A white **daybed** on the terrace overlooked the turquoise sea.,3,hotel
sunlounger,шезлонг,Every **sunlounger** by the pool comes with a fresh towel and parasol.,2,hotel
promenade,прогулочная аллея,Guests stroll along the beachside **promenade** in the evenings.,3,hotel
boardwalk,деревянный настил,The seaside hotel sits directly on the **boardwalk** above the sand.,3,hotel
jetty,причал,A small wooden **jetty** extends from the resort into the calm bay.,3,hotel
marina,марина,Guests with yachts can dock at the private **marina** beside the hotel.,4,hotel
cove,бухта,The beach hotel is tucked into a sheltered **cove** on the coastline.,3,hotel
walkway,дорожка,A covered **walkway** connects the main building to the spa pavilion.,3,hotel
trellis,шпалера,Climbing roses cover the wooden **trellis** in the hotel garden.,3,hotel
arbour,беседка с вьющимися растениями,We had afternoon tea in the shaded **arbour** at the garden's edge.,4,hotel
topiary,топиарий,Neatly trimmed **topiary** animals line the entrance to the estate hotel.,4,hotel
lily pond,пруд с лилиями,Guests meditate beside the tranquil **lily pond** in the courtyard.,3,hotel
koi pond,пруд с карпами кои,The Japanese garden features a beautiful **koi pond** near the pavilion.,3,hotel
fishpond,декоративный пруд,A stone **fishpond** sits in the centre of the inner courtyard.,3,hotel
rockery,рокарий,The hotel grounds include a Japanese **rockery** with mossy stones.,4,hotel
bellcart,тележка носильщика,The porter brought our bags upstairs on a polished wooden **bellcart**.,4,hotel
coatrack,вешалка для пальто,Hang your jackets on the **coatrack** beside the entrance to the lounge.,2,hotel
glassware,стеклянные изделия,Crystal **glassware** sparkled on every table in the grand dining room.,3,hotel
duplex suite,двухуровневый люкс,"The **duplex suite** spans two floors, with a private staircase inside.",4,hotel
bridal suite,свадебный люкс,"The **bridal suite** includes a Jacuzzi, champagne, and a panoramic view.",3,hotel
garden view,вид на сад,We paid a little extra for a **garden view** room overlooking the roses.,2,hotel
city view,вид на город,Our **city view** room on the twentieth floor was breathtaking at night.,2,hotel
sea view,вид на море,Every room in the new wing offers a stunning **sea view** at sunrise.,2,hotel
pool view,вид на бассейн,The **pool view** rooms are perfect for families who spend time outside.,2,hotel
mountain view,вид на горы,We chose a **mountain view** cabin at the lodge for our anniversary.,3,hotel
room rate,стоимость номера,The **room rate** includes a continental breakfast for two guests.,3,hotel
night audit,ночной аудит,The night manager runs the **night audit** to reconcile all daily charges.,5,hotel
duty roster,список дежурств,The **duty roster** for housekeeping staff is posted in the back office.,5,hotel
late checkout,поздний выезд,"I requested a **late checkout** at two, and the hotel agreed for a small fee.",3,hotel
early check-in,ранний заезд,**Early check-in** was available for a surcharge if the room was ready.,3,hotel
luggage room,камера хранения,Leave your bags in the **luggage room** while you explore the city.,2,hotel
lost property,бюро находок,Report missing items to the **lost property** office on the ground floor.,3,hotel
concierge desk,стойка консьержа,Ask at the **concierge desk** for show tickets and restaurant bookings.,3,hotel
front desk,стойка регистрации,Return your keycard to the **front desk** when you check out today.,2,hotel
bell desk,стойка носильщика,Your bags were sent to the **bell desk** and will be brought up shortly.,3,hotel
night manager,ночной менеджер,Contact the **night manager** if you experience any issues after midnight.,3,hotel
duty manager,дежурный менеджер,The **duty manager** offered a complimentary upgrade after the noise complaint.,4,hotel
housekeeping cart,тележка горничной,The maid pushed her **housekeeping cart** quietly along the corridor.,3,hotel
do not disturb,не беспокоить,Hang the **do not disturb** sign outside your door for uninterrupted sleep.,2,hotel
make up room,прибраться в номере,She hung the **make up room** card so staff would clean while she was out.,2,hotel
in-room dining,обслуживание в номере,"**In-room dining** is available around the clock, with a full menu.",3,hotel
butler service,услуга дворецкого,Every penthouse guest receives personalised **butler service** around the clock.,4,hotel
pillow menu,меню подушек,The **pillow menu** lets guests choose from memory foam to buckwheat options.,4,hotel
welcome drink,приветственный напиток,Each arriving guest was handed a cold **welcome drink** at the entrance.,2,hotel
welcome amenity,приветственный подарок,A **welcome amenity** of fruit and chocolates awaited us in the room.,3,hotel
pillow chocolates,шоколадки на подушке,Housekeeping left two **pillow chocolates** during the evening turndown.,3,hotel
bath menu,меню для ванны,The spa hotel offers a **bath menu** with aromatherapy salts and oils.,4,hotel
balcony room,номер с балконом,We upgraded to a **balcony room** overlooking the harbour.,2,hotel
ocean-facing,с видом на океан,All **ocean-facing** rooms sell out months in advance in high season.,3,hotel
nonsmoking,некурящий,"Please note this is a **nonsmoking** floor, as all our rooms are smoke-free.",2,hotel
smoking room,курящий номер,"The hotel reserves two **smoking rooms** on the ground floor, near the exit.",3,hotel
pet-friendly,для постояльцев с животными,The **pet-friendly** wing allows small dogs with a refundable deposit.,3,hotel
accessible room,номер для гостей с ограниченными возможностями,Book an **accessible room** if you require a roll-in shower or wide doorways.,4,hotel
